Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
125,First by Joss: 0.9,First by Graaskamp: 0.05,267,5,1.335,"[0, 1, 0]"
126,First by Graaskamp: 0.05,First by Joss: 0.9,262,-5,1.31,"[0, 1, 0]"
126,First by Joss: 0.9,First by Graaskamp: 0.05,267,5,1.335,"[0, 1, 0]"
127,First by Graaskamp: 0.05,First by Joss: 0.9,262,-5,1.31,"[0, 1, 0]"
127,First by Joss: 0.9,First by Graaskamp: 0.05,267,5,1.335,"[0, 1, 0]"
128,First by Graaskamp: 0.05,First by Joss: 0.9,262,-5,1.31,"[0, 1, 0]"
128,First by Joss: 0.9,First by Graaskamp: 0.05,267,5,1.335,"[0, 1, 0]"
129,First by Graaskamp: 0.05,First by Joss: 0.9,262,-5,1.31,"[0, 1, 0]"
129,First by Joss: 0.9,First by Graaskamp: 0.05,267,5,1.335,"[0, 1, 0]"
130,Tit For Tat,First by Davis: 10,600,0,3.0,"[0, 0, 1]"
130,First by Davis: 10,Tit For Tat,600,0,3.0,"[0, 0, 1]"
131,Tit For Tat,First by Davis: 10,600,0,3.0,"[0, 0, 1]"
131,First by Davis: 10,Tit For Tat,600,0,3.0,"[0, 0, 1]"
132,Tit For Tat,First by Davis: 10,600,0,3.0,"[0, 0, 1]"
132,First by Davis: 10,Tit For Tat,600,0,3.0,"[0, 0, 1]"
133,Tit For Tat,First by Davis: 10,600,0,3.0,"[0, 0, 1]"
133,First by Davis: 10,Tit For Tat,600,0,3.0,"[0, 0, 1]"
134,Tit For Tat,First by Davis: 10,600,0,3.0,"[0, 0, 1]"
134,First by Davis: 10,Tit For Tat,600,0,3.0,"[0, 0, 1]"
135,Tit For Tat,First by Davis: 10,600,0,3.0,"[0, 0, 1]"
135,First by Davis: 10,Tit For Tat,600,0,3.0,"[0, 0, 1]"
136,Tit For Tat,First by Davis: 10,600,0,3.0,"[0, 0, 1]"
136,First by Davis: 10,Tit For Tat,600,0,3.0,"[0, 0, 1]"
137,Tit For Tat,First by Davis: 10,600,0,3.0,"[0, 0, 1]"
137,First by Davis: 10,Tit For Tat,600,0,3.0,"[0, 0, 1]"
138,Tit For Tat,First by Davis: 10,600,0,3.0,"[0, 0, 1]"
138,First by Davis: 10,Tit For Tat,600,0,3.0,"[0, 0, 1]"
139,Tit For Tat,First by Davis: 10,600,0,3.0,"[0, 0, 1]"
139,First by Davis: 10,Tit For Tat,600,0,3.0,"[0, 0, 1]"
140,First by Graaskamp: 0.05,Random: 0.5,530,325,2.65,"[1, 0, 0]"
140,Random: 0.5,First by Graaskamp: 0.05,205,-325,1.025,"[1, 0, 0]"
141,First by Graaskamp: 0.05,Random: 0.5,530,325,2.65,"[1, 0, 0]"
141,Random: 0.5,First by Graaskamp: 0.05,205,-325,1.025,"[1, 0, 0]"
142,First by Graaskamp: 0.05,Random: 0.5,530,325,2.65,"[1, 0, 0]"
142,Random: 0.5,First by Graaskamp: 0.05,205,-325,1.025,"[1, 0, 0]"
143,First by Graaskamp: 0.05,Random: 0.5,530,325,2.65,"[1, 0, 0]"
143,Random: 0.5,First by Graaskamp: 0.05,205,-325,1.025,"[1, 0, 0]"
144,First by Graaskamp: 0.05,Random: 0.5,530,325,2.65,"[1, 0, 0]"
144,Random: 0.5,First by Graaskamp: 0.05,205,-325,1.025,"[1, 0, 0]"
145,First by Graaskamp: 0.05,Random: 0.5,530,325,2.65,"[1, 0, 0]"
145,Random: 0.5,First by Graaskamp: 0.05,205,-325,1.025,"[1, 0, 0]"
146,First by Graaskamp: 0.05,Random: 0.5,530,325,2.65,"[1, 0, 0]"
146,Random: 0.5,First by Graaskamp: 0.05,205,-325,1.025,"[1, 0, 0]"
