P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"First by Nydegger,First by Graaskamp: 0.05","[0, 10, 0]","[552, 552, 552, 552, 552, 552, 552, 552, 552, 552]","[2.76, 2.76, 2.76, 2.76, 2.76, 2.76, 2.76, 2.76, 2.76, 2.76]","[632, 632, 632, 632, 632, 632, 632, 632, 632, 632]","[3.16, 3.16, 3.16, 3.16, 3.16, 3.16, 3.16, 3.16, 3.16, 3.16]",552,2.76,632,3.16
"First by Nydegger,First by Downing","[0, 10, 0]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075]","[980, 980, 980, 980, 980, 980, 980, 980, 980, 980]","[4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9]",15,0.075,980,4.9
"First by Nydegger,First by Feld: 1.0, 0.5, 200","[0, 10, 0]","[450, 450, 450, 450, 450, 450, 450, 450, 450, 450]","[2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25]","[700, 700, 700, 700, 700, 700, 700, 700, 700, 700]","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5]",450,2.25,700,3.5
"First by Nydegger,First by Joss: 0.9","[0, 10, 0]","[531, 531, 531, 531, 531, 531, 531, 531, 531, 531]","[2.655, 2.655, 2.655, 2.655, 2.655, 2.655, 2.655, 2.655, 2.655, 2.655]","[646, 646, 646, 646, 646, 646, 646, 646, 646, 646]","[3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23, 3.23]",531,2.655,646,3.23
"First by Nydegger,First by Tullock","[0, 10, 0]","[570, 570, 570, 570, 570, 570, 570, 570, 570, 570]","[2.85, 2.85, 2.85, 2.85, 2.85, 2.85, 2.85, 2.85, 2.85, 2.85]","[620, 620, 620, 620, 620, 620, 620, 620, 620, 620]","[3.1, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1]",570,2.85,620,3.1
"First by Nydegger,First by Anonymous","[0, 10, 0]","[318, 318, 318, 318, 318, 318, 318, 318, 318, 318]","[1.59, 1.59, 1.59, 1.59, 1.59, 1.59, 1.59, 1.59, 1.59, 1.59]","[783, 783, 783, 783, 783, 783, 783, 783, 783, 783]","[3.915, 3.915, 3.915, 3.915, 3.915, 3.915, 3.915, 3.915, 3.915, 3.915]",318,1.59,783,3.915
"First by Nydegger,Random: 0.5","[0, 10, 0]","[328, 328, 328, 328, 328, 328, 328, 328, 328, 328]","[1.64, 1.64, 1.64, 1.64, 1.64, 1.64, 1.64, 1.64, 1.64, 1.64]","[773, 773, 773, 773, 773, 773, 773, 773, 773, 773]","[3.865, 3.865, 3.865, 3.865, 3.865, 3.865, 3.865, 3.865, 3.865, 3.865]",328,1.64,773,3.865
"First by Grofman,First by Grofman","[0, 0, 10]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600,3.0,600,3.0
"First by Grofman,First by Shubik","[0, 0, 10]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600,3.0,600,3.0
"First by Grofman,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[595, 595, 595, 595, 595, 595, 595, 595, 595, 595]","[2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975, 2.975]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",595,2.975,600,3.0
