Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
119,First by Downing,"First by Stein and Rapoport: 0.05: (D, D)",243,-290,1.0848214285714286,"[1, 0, 0]"
120,Tit For Tat,Grudger,552,0,3.0,"[0, 0, 1]"
120,Grudger,Tit For Tat,552,0,3.0,"[0, 0, 1]"
121,Tit For Tat,Grudger,438,0,3.0,"[0, 0, 1]"
121,Grudger,Tit For Tat,438,0,3.0,"[0, 0, 1]"
122,Tit For Tat,Grudger,702,0,3.0,"[0, 0, 1]"
122,Grudger,Tit For Tat,702,0,3.0,"[0, 0, 1]"
123,Tit For Tat,Grudger,651,0,3.0,"[0, 0, 1]"
123,Grudger,Tit For Tat,651,0,3.0,"[0, 0, 1]"
124,Tit For Tat,Grudger,429,0,3.0,"[0, 0, 1]"
124,Grudger,Tit For Tat,429,0,3.0,"[0, 0, 1]"
125,Tit For Tat,Grudger,447,0,3.0,"[0, 0, 1]"
125,Grudger,Tit For Tat,447,0,3.0,"[0, 0, 1]"
126,Tit For Tat,Grudger,480,0,3.0,"[0, 0, 1]"
126,Grudger,Tit For Tat,480,0,3.0,"[0, 0, 1]"
127,Tit For Tat,Grudger,699,0,3.0,"[0, 0, 1]"
127,Grudger,Tit For Tat,699,0,3.0,"[0, 0, 1]"
128,Tit For Tat,Grudger,660,0,3.0,"[0, 0, 1]"
128,Grudger,Tit For Tat,660,0,3.0,"[0, 0, 1]"
129,Tit For Tat,Grudger,489,0,3.0,"[0, 0, 1]"
129,Grudger,Tit For Tat,489,0,3.0,"[0, 0, 1]"
130,"First by Stein and Rapoport: 0.05: (D, D)","First by Feld: 1.0, 0.5, 200",254,-10,1.2211538461538465,"[0, 1, 0]"
130,"First by Feld: 1.0, 0.5, 200","First by Stein and Rapoport: 0.05: (D, D)",264,10,1.2692307692307692,"[0, 1, 0]"
131,"First by Stein and Rapoport: 0.05: (D, D)","First by Feld: 1.0, 0.5, 200",290,-10,1.1885245901639343,"[0, 1, 0]"
131,"First by Feld: 1.0, 0.5, 200","First by Stein and Rapoport: 0.05: (D, D)",300,10,1.2295081967213115,"[0, 1, 0]"
132,"First by Stein and Rapoport: 0.05: (D, D)","First by Feld: 1.0, 0.5, 200",246,-10,1.23,"[0, 1, 0]"
132,"First by Feld: 1.0, 0.5, 200","First by Stein and Rapoport: 0.05: (D, D)",256,10,1.28,"[0, 1, 0]"
133,"First by Stein and Rapoport: 0.05: (D, D)","First by Feld: 1.0, 0.5, 200",292,-10,1.1869918699186992,"[0, 1, 0]"
133,"First by Feld: 1.0, 0.5, 200","First by Stein and Rapoport: 0.05: (D, D)",302,10,1.227642276422764,"[0, 1, 0]"
134,"First by Stein and Rapoport: 0.05: (D, D)","First by Feld: 1.0, 0.5, 200",210,-10,1.2804878048780488,"[0, 1, 0]"
134,"First by Feld: 1.0, 0.5, 200","First by Stein and Rapoport: 0.05: (D, D)",220,10,1.3414634146341464,"[0, 1, 0]"
135,"First by Stein and Rapoport: 0.05: (D, D)","First by Feld: 1.0, 0.5, 200",252,-10,1.2233009708737863,"[0, 1, 0]"
135,"First by Feld: 1.0, 0.5, 200","First by Stein and Rapoport: 0.05: (D, D)",262,10,1.2718446601941749,"[0, 1, 0]"
136,"First by Stein and Rapoport: 0.05: (D, D)","First by Feld: 1.0, 0.5, 200",282,-10,1.194915254237288,"[0, 1, 0]"
