Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
100,"First by Feld: 1.0, 0.5, 200",First by Downing,632,200,3.4162162162162164,"[0, 1, 0]"
101,First by Downing,First by Joss: 0.9,561,-75,2.7635467980295565,"[0, 1, 0]"
101,First by Joss: 0.9,First by Downing,636,75,3.1330049261083746,"[0, 1, 0]"
102,First by Downing,First by Tullock,224,30,1.2043010752688172,"[1, 0, 0]"
102,First by Tullock,First by Downing,194,-30,1.043010752688172,"[1, 0, 0]"
103,First by Downing,First by Anonymous,645,545,3.0861244019138754,"[1, 0, 0]"
103,First by Anonymous,First by Downing,100,-545,0.4784688995215311,"[1, 0, 0]"
104,First by Downing,Random: 0.5,300,-525,1.4563106796116505,"[0, 1, 0]"
104,Random: 0.5,First by Downing,825,525,4.004854368932039,"[0, 1, 0]"
105,"First by Feld: 1.0, 0.5, 200","First by Feld: 1.0, 0.5, 200",288,5,1.3649289099526067,"[1, 0, 0]"
105,"First by Feld: 1.0, 0.5, 200","First by Feld: 1.0, 0.5, 200",283,-5,1.3412322274881516,"[1, 0, 0]"
106,"First by Feld: 1.0, 0.5, 200",First by Joss: 0.9,248,0,1.305263157894737,"[0, 0, 1]"
106,First by Joss: 0.9,"First by Feld: 1.0, 0.5, 200",248,0,1.305263157894737,"[0, 0, 1]"
107,"First by Feld: 1.0, 0.5, 200",First by Tullock,337,10,1.61244019138756,"[1, 0, 0]"
107,First by Tullock,"First by Feld: 1.0, 0.5, 200",327,-10,1.5645933014354068,"[1, 0, 0]"
108,"First by Feld: 1.0, 0.5, 200",First by Anonymous,490,125,2.45,"[1, 0, 0]"
108,First by Anonymous,"First by Feld: 1.0, 0.5, 200",365,-125,1.825,"[1, 0, 0]"
109,"First by Feld: 1.0, 0.5, 200",Random: 0.5,525,140,2.625,"[1, 0, 0]"
109,Random: 0.5,"First by Feld: 1.0, 0.5, 200",385,-140,1.925,"[1, 0, 0]"
110,First by Joss: 0.9,First by Joss: 0.9,221,0,1.2209944751381216,"[0, 0, 1]"
110,First by Joss: 0.9,First by Joss: 0.9,221,0,1.2209944751381216,"[0, 0, 1]"
